1266 3
3184 1 0.000000
3184 2 0.000000
3185 0 1.000000
3185 1 0.000000
3185 2 0.000000
3186 0 1.000000
3186 1 0.000000
3186 2 0.000000
3187 0 1.000000
3187 1 0.000000
3187 2 0.000000
3188 0 1.000000
3188 1 0.000000
3188 2 0.000000
3189 0 1.000000
3189 1 0.000000
3189 2 0.000000
3190 0 1.000000
3190 1 0.000000
3190 2 0.000000
3191 0 1.000000
3191 1 0.000000
3191 2 0.000000
3192 0 1.000000
3192 1 0.000000
3192 2 0.000000
3193 0 1.000000
3193 1 0.000000
3193 2 0.000000
3194 0 1.000000
3194 1 0.000000
3194 2 0.000000
3195 0 1.000000
3195 1 0.000000
3195 2 0.000000
3196 0 1.000000
3196 1 0.000000
3196 2 0.000000
3197 0 1.000000
3197 1 0.000000
3197 2 0.000000
3198 0 1.000000
3198 1 0.000000
3198 2 0.000000
3199 0 1.000000
3199 1 0.000000
3199 2 0.000000
3200 0 1.000000
3200 1 0.000000
3200 2 0.000000
3201 0 1.000000
3201 1 0.000000
3201 2 0.000000
3202 0 1.000000
3202 1 0.000000
3202 2 0.000000
3203 0 1.000000
3203 1 0.000000
3203 2 0.000000
3204 0 1.000000
3204 1 0.000000
3204 2 0.000000
3205 0 1.000000
3205 1 0.000000
3205 2 0.000000
3206 0 1.000000
3206 1 0.000000
3206 2 0.000000
3207 0 1.000000
3207 1 0.000000
3207 2 0.000000
3208 0 1.000000
3208 1 0.000000
3208 2 0.000000
3209 0 1.000000
3209 1 0.000000
3209 2 0.000000
3210 0 1.000000
3210 1 0.000000
3210 2 0.000000
3211 0 1.000000
3211 1 0.000000
3211 2 0.000000
3212 0 1.000000
3212 1 0.000000
3212 2 0.000000
3213 0 1.000000
3213 1 0.000000
3213 2 0.000000
3214 0 1.000000
3214 1 0.000000
3214 2 0.000000
3215 0 1.000000
3215 1 0.000000
3215 2 0.000000
3216 0 1.000000
3216 1 0.000000
3216 2 0.000000
3217 0 1.000000
3217 1 0.000000
3217 2 0.000000
3218 0 1.000000
3218 1 0.000000
3218 2 0.000000
3219 0 1.000000
3219 1 0.000000
3219 2 0.000000
3220 0 1.000000
3220 1 0.000000
3220 2 0.000000
3221 0 1.000000
3221 1 0.000000
3221 2 0.000000
3222 0 1.000000
3222 1 0.000000
3222 2 0.000000
3223 0 1.000000
3223 1 0.000000
3223 2 0.000000
3224 0 1.000000
3224 1 0.000000
3224 2 0.000000
3225 0 1.000000
3225 1 0.000000
3225 2 0.000000
3226 0 1.000000
3226 1 0.000000
3226 2 0.000000
3227 0 1.000000
3227 1 0.000000
3227 2 0.000000
3228 0 1.000000
3228 1 0.000000
3228 2 0.000000
3229 0 1.000000
3229 1 0.000000
3229 2 0.000000
3230 0 1.000000
3230 1 0.000000
3230 2 0.000000
3231 0 1.000000
3231 1 0.000000
3231 2 0.000000
3232 0 1.000000
3232 1 0.000000
3232 2 0.000000
3233 0 1.000000
3233 1 0.000000
3233 2 0.000000
3234 0 1.000000
3234 1 0.000000
3234 2 0.000000
3235 0 1.000000
3235 1 0.000000
3235 2 0.000000
3236 0 1.000000
3236 1 0.000000
3236 2 0.000000
3237 0 1.000000
3237 1 0.000000
3237 2 0.000000
3238 0 1.000000
3238 1 0.000000
3238 2 0.000000
3239 0 1.000000
3239 1 0.000000
3239 2 0.000000
3240 0 1.000000
3240 1 0.000000
3240 2 0.000000
3241 0 1.000000
3241 1 0.000000
3241 2 0.000000
3242 0 1.000000
3242 1 0.000000
3242 2 0.000000
3243 0 1.000000
3243 1 0.000000
3243 2 0.000000
3244 0 1.000000
3244 1 0.000000
3244 2 0.000000
3245 0 1.000000
3245 1 0.000000
3245 2 0.000000
3246 0 1.000000
3246 1 0.000000
3246 2 0.000000
3247 0 1.000000
3247 1 0.000000
3247 2 0.000000
3248 0 1.000000
3248 1 0.000000
3248 2 0.000000
3249 0 1.000000
3249 1 0.000000
3249 2 0.000000
3250 0 1.000000
3250 1 0.000000
3250 2 0.000000
3251 0 1.000000
3251 1 0.000000
3251 2 0.000000
3252 0 1.000000
3252 1 0.000000
3252 2 0.000000
3253 0 1.000000
3253 1 0.000000
3253 2 0.000000
3254 0 1.000000
3254 1 0.000000
3254 2 0.000000
3255 0 1.000000
3255 1 0.000000
3255 2 0.000000
3256 0 1.000000
3256 1 0.000000
3256 2 0.000000
3257 0 1.000000
3257 1 0.000000
3257 2 0.000000
3258 0 1.000000
3258 1 0.000000
3258 2 0.000000
3259 0 1.000000
3259 1 0.000000
3259 2 0.000000
