212400 3
2512 1 0.000000
2512 2 0.000000
2513 0 0.000000
2513 1 0.000000
2513 2 0.000000
2514 0 0.000000
2514 1 0.000000
2514 2 0.000000
2515 0 0.000000
2515 1 0.000000
2515 2 0.000000
2516 0 0.000000
2516 1 0.000000
2516 2 0.000000
2517 0 0.000000
2517 1 0.000000
2517 2 0.000000
2518 0 0.000000
2518 1 0.000000
2518 2 0.000000
2519 0 0.000000
2519 1 0.000000
2519 2 0.000000
2520 0 0.000000
2520 1 0.000000
2520 2 0.000000
2521 0 0.000000
2521 1 0.000000
2521 2 0.000000
2522 0 0.000000
2522 1 0.000000
2522 2 0.000000
2523 0 0.000000
2523 1 0.000000
2523 2 0.000000
2524 0 0.000000
2524 1 0.000000
2524 2 0.000000
2525 0 0.000000
2525 1 0.000000
2525 2 0.000000
2526 0 0.000000
2526 1 0.000000
2526 2 0.000000
2527 0 0.000000
2527 1 0.000000
2527 2 0.000000
2528 0 0.000000
2528 1 0.000000
2528 2 0.000000
2529 0 0.000000
2529 1 0.000000
2529 2 0.000000
2530 0 0.000000
2530 1 0.000000
2530 2 0.000000
2531 0 0.000000
2531 1 0.000000
2531 2 0.000000
2532 0 0.000000
2532 1 0.000000
2532 2 0.000000
2533 0 0.000000
2533 1 0.000000
2533 2 0.000000
2534 0 0.000000
2534 1 0.000000
2534 2 0.000000
2535 0 0.000000
2535 1 0.000000
2535 2 0.000000
2536 0 0.000000
2536 1 0.000000
2536 2 0.000000
2537 0 0.000000
2537 1 0.000000
2537 2 0.000000
2538 0 0.000000
2538 1 0.000000
2538 2 0.000000
2539 0 0.000000
2539 1 0.000000
2539 2 0.000000
2540 0 0.000000
2540 1 0.000000
2540 2 0.000000
2541 0 0.000000
2541 1 0.000000
2541 2 0.000000
2542 0 0.000000
2542 1 0.000000
2542 2 0.000000
2543 0 0.000000
2543 1 0.000000
2543 2 0.000000
2544 0 0.000000
2544 1 0.000000
2544 2 0.000000
2545 0 0.000000
2545 1 0.000000
2545 2 0.000000
2546 0 0.000000
2546 1 0.000000
2546 2 0.000000
2547 0 0.000000
2547 1 0.000000
2547 2 0.000000
2548 0 0.000000
2548 1 0.000000
2548 2 0.000000
2549 0 0.000000
2549 1 0.000000
2549 2 0.000000
2550 0 0.000000
2550 1 0.000000
2550 2 0.000000
2551 0 0.000000
2551 1 0.000000
2551 2 0.000000
2552 0 0.000000
2552 1 0.000000
2552 2 0.000000
2553 0 0.000000
2553 1 0.000000
2553 2 0.000000
2554 0 0.000000
2554 1 0.000000
2554 2 0.000000
2555 0 0.000000
2555 1 0.000000
2555 2 0.000000
2556 0 0.000000
2556 1 0.000000
2556 2 0.000000
2557 0 0.000000
2557 1 0.000000
2557 2 0.000000
2558 0 0.000000
2558 1 0.000000
2558 2 0.000000
2559 0 0.000000
2559 1 0.000000
2559 2 0.000000
2560 0 0.000000
2560 1 0.000000
2560 2 0.000000
2561 0 0.000000
2561 1 0.000000
2561 2 0.000000
2562 0 0.000000
2562 1 0.000000
2562 2 0.000000
2563 0 0.000000
2563 1 0.000000
2563 2 0.000000
2564 0 0.000000
2564 1 0.000000
2564 2 0.000000
2565 0 0.000000
2565 1 0.000000
2565 2 0.000000
2566 0 0.000000
2566 1 0.000000
2566 2 0.000000
2567 0 0.000000
2567 1 0.000000
2567 2 0.000000
2568 0 0.000000
2568 1 0.000000
2568 2 0.000000
2569 0 0.000000
2569 1 0.000000
2569 2 0.000000
2570 0 0.000000
2570 1 0.000000
2570 2 0.000000
2571 0 0.000000
2571 1 0.000000
2571 2 0.000000
2572 0 0.000000
2572 1 0.000000
2572 2 0.000000
2573 0 0.000000
2573 1 0.000000
2573 2 0.000000
2574 0 0.000000
2574 1 0.000000
2574 2 0.000000
2575 0 0.000000
2575 1 0.000000
2575 2 0.000000
2576 0 0.000000
2576 1 0.000000
2576 2 0.000000
2577 0 0.000000
2577 1 0.000000
2577 2 0.000000
2578 0 0.000000
2578 1 0.000000
2578 2 0.000000
2579 0 0.000000
2579 1 0.000000
2579 2 0.000000
2580 0 0.000000
2580 1 0.000000
2580 2 0.000000
2581 0 0.000000
2581 1 0.000000
2581 2 0.000000
2582 0 0.000000
2582 1 0.000000
2582 2 0.000000
2583 0 0.000000
2583 1 0.000000
2583 2 0.000000
2584 0 0.000000
2584 1 0.000000
2584 2 0.000000
2585 0 0.000000
2585 1 0.000000
2585 2 0.000000
2586 0 0.000000
2586 1 0.000000
2586 2 0.000000
2587 0 0.000000
2587 1 0.000000
2587 2 0.000000
2588 0 0.000000
2588 1 0.000000
2588 2 0.000000
2589 0 0.000000
2589 1 0.000000
2589 2 0.000000
2590 0 0.000000
2590 1 0.000000
2590 2 0.000000
2591 0 0.000000
2591 1 0.000000
